Date,Open,High,Low,Close,Volume
2020-09-30,136.16,138.27,135.6,137.48,8487700
2020-10-01,137.88,138.2,135.25,136.04,6457800
2020-10-02,135.02,137.05,134.67,135.05,5485600
2020-10-05,135.75,137.02,135.21,136.88,4992800
2020-10-06,136.93,137.24,134.7,135.07,5118200
2020-10-07,135.28,136.88,134.65,136.56,5603100
2020-10-08,137.13,138.38,136.71,137.49,4413500
2020-10-09,138.2,139.89,138.01,139.41,5054100
2020-10-12,140.0,141.42,139.46,140.22,7273200
2020-10-13,137.6,138.63,136.46,137.0,11057600
2020-10-14,137.43,137.62,136.11,136.76,7706400
2020-10-15,136.19,136.58,135.13,135.92,5978600
2020-10-16,136.3,137.37,135.76,136.76,6097000
2020-10-19,137.16,137.5,133.1,133.27,7250800
2020-10-20,133.59,134.59,133.09,133.49,5325400
2020-10-21,133.09,134.22,132.9,132.91,5221300
2020-10-22,133.13,134.54,132.83,133.98,5279700
2020-10-23,134.71,136.18,133.3,134.12,4154400
2020-10-26,133.38,133.69,131.82,132.95,6929500
2020-10-27,132.74,133.25,131.98,132.19,4890100
2020-10-28,130.6,131.11,127.6,127.77,8426100
2020-10-29,127.44,128.08,125.64,126.69,7205400
2020-10-30,126.22,127.01,123.42,126.62,7364100
2020-11-02,128.34,128.37,126.97,128.07,7088000
2020-11-03,129.3,130.17,127.23,127.9,6363000
2020-11-04,128.81,131.63,128.08,128.73,10263500
2020-11-05,129.79,130.97,128.6,129.06,8016200
2020-11-06,129.65,132.23,128.96,131.36,5942500
2020-11-09,137.07,137.59,133.83,134.9,12351600
2020-11-10,135.98,137.36,135.07,136.93,7386500
2020-11-11,137.75,137.78,135.62,136.49,6382400
2020-11-12,136.31,137.27,135.52,136.95,4710300
2020-11-13,137.68,138.9,137.05,138.43,5893500
2020-11-16,139.37,139.72,138.33,139.3,6266400
2020-11-17,138.52,139.1,137.71,137.92,7297700
2020-11-18,137.48,138.3,136.09,136.09,6661000
2020-11-19,136.03,136.17,134.45,135.88,7987700
2020-11-20,135.79,136.62,134.95,135.16,6354900
2020-11-23,135.77,135.77,133.01,133.78,7318300
2020-11-24,133.9,134.61,133.54,133.78,11034800
2020-11-25,133.96,134.06,132.84,133.6,7594600
2020-11-27,134.37,134.52,133.18,133.9,3059000
2020-11-30,134.12,134.7,133.03,134.53,15663200
2020-12-01,136.03,138.67,135.63,137.11,9738200
2020-12-02,137.48,139.21,137.34,137.75,7745500
2020-12-03,137.66,139.09,137.33,138.55,7310500
2020-12-04,139.29,139.77,138.8,139.73,6747100
2020-12-07,138.88,139.4,138.1,138.52,6634700
2020-12-08,139.48,141.47,139.06,140.92,8339800
2020-12-09,142.11,142.74,141.12,142.36,8440100
2020-12-10,142.1,142.25,141.04,141.57,7392900
2020-12-11,140.9,142.65,140.62,142.22,5977400
2020-12-14,142.5,142.72,138.54,138.62,8547300
2020-12-15,139.48,140.18,139.04,140.01,7612600
2020-12-16,139.67,140.34,139.06,139.17,8486100
2020-12-17,139.56,143.1,139.44,142.85,9920300
2020-12-18,142.88,144.22,141.03,143.67,17137200
2020-12-21,141.35,142.65,139.53,142.29,7893400
2020-12-22,141.71,143.11,141.21,142.01,4699500
2020-12-23,142.08,142.83,141.25,141.29,4607300
2020-12-24,141.2,142.31,141.17,141.78,2114900
2020-12-28,142.57,143.08,141.62,142.45,3855500
2020-12-29,143.3,144.07,143.01,143.33,5212000
2020-12-30,143.89,145.41,143.76,145.11,5412800
2020-12-31,145.55,146.6,144.23,146.34,5099900
2021-01-04,146.21,146.34,143.32,145.53,11765900
2021-01-05,145.29,147.63,144.2,147.24,9602300
2021-01-06,146.21,148.99,145.73,148.62,8230100
2021-01-07,147.85,149.74,147.25,149.12,7747200
2021-01-08,149.25,149.8,148.67,148.82,8228900
2021-01-11,149.3,150.01,147.64,148.19,7066200
2021-01-12,147.99,148.46,146.3,147.04,6903200
2021-01-13,147.13,147.35,145.76,146.82,6643100
2021-01-14,149.2,150.59,148.42,149.38,10030800
2021-01-15,149.06,150.09,147.95,149.06,7630800
2021-01-19,150.64,151.61,149.8,151.36,9057600
2021-01-20,151.76,152.63,150.45,150.99,6839900
2021-01-21,150.01,151.09,148.84,150.39,6818000
2021-01-22,150.97,153.58,150.52,152.08,8137000
2021-01-25,153.44,154.44,152.18,154.34,9924400
2021-01-26,157.8,161.47,157.51,158.52,14205700
2021-01-27,157.26,158.93,155.71,156.11,14207300
2021-01-28,156.4,158.88,156.03,157.3,8944400
2021-01-29,152.74,154.36,149.29,151.69,22505900
2021-02-01,153.72,153.72,151.2,151.3,9971400
2021-02-02,151.92,152.18,149.88,149.94,11443300
2021-02-03,149.65,150.19,148.38,149.24,8601900
2021-02-04,149.71,150.72,148.56,150.63,7758100
2021-02-05,153.3,153.84,152.37,152.92,9495300
2021-02-08,153.46,154.28,152.39,153.35,6035300
2021-02-09,153.61,154.91,153.4,154.61,5544200
2021-02-10,156.12,156.16,154.08,155.11,5921300
2021-02-11,155.29,155.64,153.99,154.41,4871300
2021-02-12,152.87,155.15,152.5,154.9,4413100
2021-02-16,154.9,155.33,153.09,153.49,5656100
2021-02-17,153.4,154.44,152.83,154.04,6676700
2021-02-18,153.39,154.51,152.78,154.12,5189100
2021-02-19,153.99,154.32,151.49,151.55,8190900
2021-02-22,151.46,152.08,149.98,151.46,6447100
2021-02-23,151.09,152.69,150.08,150.12,7042800
2021-02-24,151.95,153.81,150.57,152.13,10286100
2021-02-25,152.64,153.17,151.57,152.29,9719700
2021-02-26,151.58,151.96,147.81,148.27,14417500
2021-03-01,151.06,151.14,148.86,149.07,10551400
2021-03-02,149.5,150.44,148.4,148.79,7610900
2021-03-03,148.07,148.68,146.02,146.17,8499600
2021-03-04,145.96,146.06,141.73,143.22,11033200
2021-03-05,144.07,146.61,143.28,146.06,8331600
2021-03-08,146.9,149.08,145.95,147.27,6546700
2021-03-09,146.8,150.41,146.8,147.56,7461300
2021-03-10,148.6,149.61,147.24,148.91,6635600
2021-03-11,149.28,150.3,148.7,148.9,6305600
2021-03-12,149.03,150.0,148.95,149.33,5474800
2021-03-15,149.47,150.32,148.3,150.1,5524100
2021-03-16,150.14,151.28,149.93,150.99,6369100
2021-03-17,150.48,151.33,149.27,150.43,6001400
2021-03-18,149.9,151.1,149.67,150.15,4801800
2021-03-19,150.35,151.11,149.21,149.74,14891500
2021-03-22,148.13,150.32,147.84,150.18,7544100
2021-03-23,149.9,150.83,148.66,150.03,7178300
2021-03-24,149.8,152.03,149.54,151.49,6370100
2021-03-25,151.99,152.0,150.31,151.55,6269800
2021-03-26,151.66,154.48,151.0,154.32,7619200
2021-03-29,153.29,156.28,153.1,155.36,8535100
2021-03-30,154.4,155.0,153.67,154.39,7236300
2021-03-31,154.35,154.75,153.17,153.78,8281500
2021-04-01,152.14,153.3,151.82,152.36,7229700
2021-04-05,153.11,154.15,152.2,152.92,7387100
2021-04-06,153.52,153.94,152.51,152.88,5074200
2021-04-07,153.03,153.71,152.81,153.08,4608000
2021-04-08,153.45,153.55,152.37,152.49,5039400
2021-04-09,151.69,152.45,149.5,150.88,8418300
2021-04-12,150.73,151.65,150.03,151.24,5022800
2021-04-13,146.77,149.64,146.46,149.22,18424100
2021-04-14,147.68,149.81,147.41,149.63,7718300
2021-04-15,150.38,151.94,149.92,150.07,7524600
2021-04-16,150.96,152.06,150.23,151.8,9049400
2021-04-19,152.05,152.62,150.49,152.22,8353500
2021-04-20,150.64,157.0,150.64,155.77,14050700
2021-04-21,155.67,156.17,154.66,155.87,6333200
2021-04-22,155.17,155.58,154.03,154.55,7233000
2021-04-23,153.95,155.38,153.45,154.87,6015300
2021-04-26,154.58,154.77,153.23,153.56,6027800
2021-04-27,153.23,153.37,152.02,152.68,6217700
2021-04-28,152.38,152.7,151.25,151.56,7448000
2021-04-29,151.49,153.69,151.4,153.64,6394300
2021-04-30,153.59,153.76,152.07,152.26,9079100
2021-05-03,153.08,154.68,152.63,154.58,6594100
2021-05-04,154.23,157.05,154.08,156.98,10179500
2021-05-05,156.72,157.57,156.06,156.32,7792300
2021-05-06,156.06,157.09,155.55,156.95,5529900
2021-05-07,157.47,158.3,157.03,157.66,5316200
2021-05-10,158.97,160.5,158.34,159.32,8357500
2021-05-11,159.67,159.88,157.45,158.02,8217900
2021-05-12,157.7,158.88,157.15,157.38,6758300
2021-05-13,156.23,159.72,156.23,159.03,8018600
2021-05-14,160.45,160.57,159.22,159.27,5797700
2021-05-17,159.44,160.83,159.35,159.43,5722600
